epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,23368.4,1.36874,0.69424,1.01355,0.67225,0.49598,0.53006,0.33471,1.29718,0.67272,1.01409,0.005215,0.005215,0.005215
147,23955.9,1.36607,0.69067,1.01362,0.67699,0.49485,0.5298,0.3346,1.29738,0.67205,1.01415,0.005182,0.005182,0.005182
148,24524.7,1.36699,0.69322,1.01133,0.67717,0.49408,0.52963,0.33457,1.2976,0.67133,1.01412,0.005149,0.005149,0.005149
149,25075.9,1.36605,0.6922,1.01222,0.68273,0.49281,0.5294,0.33447,1.29781,0.67072,1.01414,0.005116,0.005116,0.005116
150,25641.4,1.36782,0.69384,1.01294,0.68501,0.49187,0.52947,0.33449,1.29809,0.67024,1.01418,0.005083,0.005083,0.005083
151,26211.1,1.3641,0.69,1.01019,0.68493,0.49341,0.52965,0.33457,1.29835,0.66991,1.01426,0.00505,0.00505,0.00505
152,26771.8,1.36301,0.69021,1.01132,0.68577,0.49364,0.52957,0.33459,1.2985,0.66968,1.01429,0.005017,0.005017,0.005017
153,27356.6,1.35752,0.6871,1.00933,0.68801,0.49394,0.52967,0.3347,1.29875,0.66958,1.01434,0.004984,0.004984,0.004984
154,28071.7,1.36358,0.68882,1.01067,0.69116,0.49241,0.5296,0.33433,1.29907,0.66937,1.01443,0.004951,0.004951,0.004951
155,28688.4,1.35884,0.68688,1.00769,0.69014,0.49343,0.52871,0.33407,1.29928,0.66888,1.0145,0.004918,0.004918,0.004918
156,29281.1,1.35654,0.68643,1.00904,0.69288,0.49309,0.52859,0.33395,1.29939,0.66853,1.01449,0.004885,0.004885,0.004885
157,29947,1.35571,0.6836,1.00806,0.69288,0.49307,0.52825,0.33358,1.29963,0.66815,1.01453,0.004852,0.004852,0.004852
158,30554.7,1.35561,0.6841,1.00794,0.69321,0.49225,0.52831,0.33346,1.29973,0.66781,1.01456,0.004819,0.004819,0.004819
159,31158.6,1.35149,0.68289,1.00716,0.6949,0.49151,0.52859,0.33327,1.30001,0.6675,1.01462,0.004786,0.004786,0.004786
160,31788.3,1.35404,0.68381,1.00661,0.69615,0.49113,0.52863,0.333,1.30027,0.66739,1.01468,0.004753,0.004753,0.004753
161,32629.1,1.35156,0.68246,1.00625,0.69865,0.49244,0.52921,0.33296,1.30052,0.66712,1.01475,0.00472,0.00472,0.00472
162,33410.4,1.35005,0.68071,1.00673,0.70006,0.49088,0.52915,0.33283,1.3006,0.66674,1.01478,0.004687,0.004687,0.004687
163,34061.5,1.3516,0.68464,1.00541,0.70081,0.49178,0.52888,0.33248,1.3008,0.66666,1.01476,0.004654,0.004654,0.004654
164,34803.8,1.35183,0.68151,1.0052,0.70047,0.49299,0.52913,0.33233,1.30106,0.66735,1.0148,0.004621,0.004621,0.004621
165,35487.4,1.34995,0.68132,1.00587,0.70048,0.49313,0.52967,0.33249,1.30129,0.6673,1.01488,0.004588,0.004588,0.004588
166,36129.7,1.34696,0.67973,1.00429,0.7006,0.49421,0.5297,0.33238,1.30155,0.66829,1.015,0.004555,0.004555,0.004555
167,36781.1,1.34689,0.67833,1.00369,0.7005,0.49474,0.53015,0.33257,1.30186,0.66895,1.0151,0.004522,0.004522,0.004522
168,37393.6,1.34687,0.68053,1.00513,0.69984,0.4947,0.53037,0.33267,1.302,0.66967,1.01518,0.004489,0.004489,0.004489
169,38039.1,1.33941,0.67513,1.00252,0.6998,0.4954,0.53034,0.33261,1.30231,0.66954,1.01528,0.004456,0.004456,0.004456
170,38746.3,1.33984,0.67546,1.00263,0.69588,0.49762,0.53038,0.33239,1.30262,0.66959,1.01543,0.004423,0.004423,0.004423
171,39669.9,1.34286,0.67924,1.00328,0.69634,0.49895,0.53082,0.33261,1.30278,0.67003,1.01551,0.00439,0.00439,0.00439
172,40268.3,1.33761,0.67355,1.00123,0.69569,0.49929,0.53051,0.33248,1.30297,0.67001,1.0156,0.004357,0.004357,0.004357
173,40899.6,1.33467,0.6721,1.0006,0.69581,0.49928,0.5307,0.33251,1.30314,0.67033,1.0157,0.004324,0.004324,0.004324
174,41577.6,1.33988,0.67468,1.00179,0.69283,0.50094,0.53066,0.33202,1.30339,0.67004,1.01582,0.004291,0.004291,0.004291
175,42534.3,1.33473,0.67127,0.99969,0.69087,0.50333,0.53079,0.33183,1.30353,0.67022,1.01589,0.004258,0.004258,0.004258
176,820.725,1.33659,0.67438,1.002,0.69039,0.50304,0.53107,0.33219,1.3026,0.6691,1.01563,0.004225,0.004225,0.004225
177,1438.86,1.33996,0.67427,1.0023,0.68985,0.50134,0.53137,0.33226,1.30164,0.66768,1.01539,0.004192,0.004192,0.004192
178,1947.67,1.34053,0.67509,1.00225,0.68704,0.49961,0.53146,0.33254,1.30094,0.66641,1.01526,0.004159,0.004159,0.004159
179,2467.23,1.33912,0.67487,1.002,0.686,0.49835,0.53174,0.33276,1.30016,0.6652,1.0151,0.004126,0.004126,0.004126
180,2975.44,1.33748,0.67204,1.00214,0.68568,0.49794,0.5321,0.33295,1.29954,0.6646,1.01497,0.004093,0.004093,0.004093
181,3478.43,1.33579,0.67377,1.00166,0.68367,0.49677,0.53183,0.33285,1.29913,0.66414,1.01492,0.00406,0.00406,0.00406
182,3977.78,1.33837,0.67329,1.00041,0.68068,0.49414,0.53159,0.3328,1.29878,0.66377,1.01486,0.004027,0.004027,0.004027
183,4465.59,1.33259,0.67065,1.00034,0.67709,0.49413,0.53125,0.33283,1.29836,0.66341,1.0148,0.003994,0.003994,0.003994
184,5018.93,1.33226,0.67049,0.99975,0.67579,0.49105,0.53069,0.33274,1.29799,0.66307,1.01471,0.003961,0.003961,0.003961
185,5575.46,1.33088,0.67016,0.99861,0.67218,0.49054,0.53068,0.3329,1.29777,0.66295,1.01465,0.003928,0.003928,0.003928
186,6114.73,1.32931,0.66948,0.99901,0.67227,0.48816,0.53047,0.33289,1.29751,0.66276,1.0146,0.003895,0.003895,0.003895
187,6675.27,1.32885,0.66661,0.99869,0.67368,0.48801,0.53115,0.33325,1.2973,0.66258,1.01457,0.003862,0.003862,0.003862
